"Player_Id","Player_Id_Str","Player","Position","Short_Name","Team_Id","Team","Salary","Season","Height","Feet","Inches","Weight","DOB","Draft_Year","Draft_Round","Draft_Pick","Draft_Team"
"3975","stephen-curry","Stephen Curry","PG","GS","golden-state-warriors","Golden State Warriors","43006362",2020,6.25,6,3,193,1988-03-14,"2009","1","7","GS"
"3468","russell-westbrook","Russell Westbrook","PG","WSH","washington-wizards","Washington Wizards","41358814",2020,6.25,6,3,200,1988-11-12,"2008","1","4","SEA"
"2779","chris-paul","Chris Paul","PG","PHX","phoenix-suns","Phoenix Suns","41358814",2020,6.08333333333333,6,1,175,1985-05-06,"2005","1","4","NO"
"4237","john-wall","John Wall","PG","HOU","houston-rockets","Houston Rockets","41254920",2020,6.33333333333333,6,4,210,1990-09-06,"2010","1","1","WSH"
"3992","james-harden","James Harden","SG","HOU","houston-rockets","Houston Rockets","41254920",2020,6.41666666666667,6,5,220,1989-08-26,"2009","1","3","OKC"
"3202","kevin-durant","Kevin Durant","SF","BKN","brooklyn-nets","Brooklyn Nets","40108950",2020,6.83333333333333,6,10,225,1988-09-29,"2007","1","2","SEA"
"1966","lebron-james","LeBron James","SF","LAL","los-angeles-lakers","Los Angeles Lakers","39219565",2020,6.75,6,9,250,1984-12-30,"2003","1","1","CLE"
"3989","blake-griffin","Blake Griffin","PF","DET","detroit-pistons","Detroit Pistons","36810996",2020,6.83333333333333,6,10,250,1989-03-16,"2009","1","1","LAC"
"4251","paul-george","Paul George","SG","LAC","la-clippers","LA Clippers","35450412",2020,6.66666666666667,6,8,220,1990-05-02,"2010","1","10","IND"
"6475","klay-thompson","Klay Thompson","SG","GS","golden-state-warriors","Golden State Warriors","35361360",2020,6.5,6,6,215,1990-02-08,"2011","1","11","GS"
"3195","mike-conley","Mike Conley","PG","UTAH","utah-jazz","Utah Jazz","34502130",2020,6.08333333333333,6,1,175,1987-10-11,"2007","1","4","MEM"
"6430","jimmy-butler","Jimmy Butler","SF","MIA","miami-heat","Miami Heat","34379100",2020,6.58333333333333,6,7,230,1989-09-14,"2011","1","30","CHI"
"6450","kawhi-leonard","Kawhi Leonard","SF","LAC","la-clippers","LA Clippers","34379100",2020,6.58333333333333,6,7,225,1991-06-29,"2011","1","15","IND"
"6479","kemba-walker","Kemba Walker","PG","BOS","boston-celtics","Boston Celtics","34379100",2020,6,6,0,184,1990-05-08,"2011","1","9","CHA"
"6440","tobias-harris","Tobias Harris","SF","PHI","philadelphia-76ers","Philadelphia 76ers","34358850",2020,6.66666666666667,6,8,228,1992-07-15,"2011","1","19","CHA"
"6609","khris-middleton","Khris Middleton","SF","MIL","milwaukee-bucks","Milwaukee Bucks","33051724",2020,6.58333333333333,6,7,217,1991-08-12,"2012","2","39","DET"
"6583","anthony-davis","Anthony Davis","PF","LAL","los-angeles-lakers","Los Angeles Lakers","32742000",2020,6.83333333333333,6,10,253,1993-03-11,"2012","1","1","NO"
"6442","kyrie-irving","Kyrie Irving","PG","BKN","brooklyn-nets","Brooklyn Nets","31742000",2020,6.16666666666667,6,2,199,1992-03-23,"2011","1","1","CLE"
"6606","damian-lillard","Damian Lillard","PG","POR","portland-trail-blazers","Portland Trail Blazers","31626953",2020,6.16666666666667,6,2,195,1990-07-15,"2012","1","6","POR"
"3449","kevin-love","Kevin Love","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","31258256",2020,6.66666666666667,6,8,247,1988-09-07,"2008","1","5","MEM"
"3149673","pascal-siakam","Pascal Siakam","PF","TOR","toronto-raptors","Toronto Raptors","30559200",2020,6.75,6,9,230,1994-04-02,"2016","1","27","TOR"
"3907387","ben-simmons","Ben Simmons","PG","PHI","philadelphia-76ers","Philadelphia 76ers","30559200",2020,6.83333333333333,6,10,240,1996-07-20,"2016","1","1","PHI"
"3012","kyle-lowry","Kyle Lowry","PG","TOR","toronto-raptors","Toronto Raptors","30500000",2020,6.08333333333333,6,1,196,1986-03-25,"2006","1","24","MEM"
"2991235","steven-adams","Steven Adams","C","NO","new-orleans-pelicans","New Orleans Pelicans","29592696",2020,6.91666666666667,6,11,265,1993-07-20,"2013","1","12","OKC"
"3059318","joel-embiid","Joel Embiid","C","PHI","philadelphia-76ers","Philadelphia 76ers","29542010",2020,7,7,0,280,1994-03-16,"2014","1","3","PHI"
"3059319","andrew-wiggins","Andrew Wiggins","SF","GS","golden-state-warriors","Golden State Warriors","29542010",2020,6.58333333333333,6,7,205,1995-02-23,"2014","1","1","CLE"
"3112335","nikola-jokic","Nikola Jokic","C","DEN","denver-nuggets","Denver Nuggets","29542010",2020,7,7,0,284,1995-02-19,"2014","2","41","DEN"
"3136193","devin-booker","Devin Booker","SG","PHX","phoenix-suns","Phoenix Suns","29467800",2020,6.41666666666667,6,5,206,1996-10-30,"2015","1","13","PHX"
"3136195","karl-anthony-towns","Karl-Anthony Towns","C","MIN","minnesota-timberwolves","Minnesota Timberwolves","29467800",2020,7,7,0,250,1995-11-15,"2015","1","1","MIN"
"3102531","kristaps-porzingis","Kristaps Porzingis","F","DAL","dallas-mavericks","Dallas Mavericks","29467800",2020,7.25,7,3,240,1995-08-02,"2015","1","4","NY"
"2490149","cj-mccollum","CJ McCollum","SG","POR","portland-trail-blazers","Portland Trail Blazers","29354152",2020,6.25,6,3,190,1991-09-19,"2013","1","10","POR"
"6580","bradley-beal","Bradley Beal","SG","WSH","washington-wizards","Washington Wizards","28751775",2020,6.25,6,3,207,1993-06-28,"2012","1","3","WSH"
"6585","andre-drummond","Andre Drummond","C","CLE","cleveland-cavaliers","Cleveland Cavaliers","28751775",2020,6.91666666666667,6,11,279,1993-08-10,"2012","1","9","DET"
"3136776","d'angelo-russell","D'Angelo Russell","SG","MIN","minnesota-timberwolves","Minnesota Timberwolves","28649250",2020,6.33333333333333,6,4,193,1996-02-23,"2015","1","2","LAL"
"4249","gordon-hayward","Gordon Hayward","SF","CHA","charlotte-hornets","Charlotte Hornets","28500000",2020,6.58333333333333,6,7,225,1990-03-23,"2010","1","9","UTAH"
"2594922","otto-porter-jr.","Otto Porter Jr.","SF","CHI","chicago-bulls","Chicago Bulls","28489237",2020,6.66666666666667,6,8,228,1993-06-03,"2013","1","3","WSH"
"3978","demar-derozan","DeMar DeRozan","SG","SA","san-antonio-spurs","San Antonio Spurs","27739975",2020,6.58333333333333,6,7,220,1989-08-07,"2009","1","9","TOR"
"3032977","giannis-antetokounmpo","Giannis Antetokounmpo","PF","MIL","milwaukee-bucks","Milwaukee Bucks","27528090",2020,6.91666666666667,6,11,250,1994-12-06,"2013","1","15","MIL"
"3032976","rudy-gobert","Rudy Gobert","C","UTAH","utah-jazz","Utah Jazz","27525281",2020,7.08333333333333,7,1,245,1992-06-26,"2013","1","27","DEN"
"3213","al-horford","Al Horford","C","OKC","oklahoma-city-thunder","Oklahoma City Thunder","27500000",2020,6.75,6,9,240,1986-06-03,"2007","1","3","ATL"
"3936299","jamal-murray","Jamal Murray","PG","DEN","denver-nuggets","Denver Nuggets","27285000",2020,6.33333333333333,6,4,215,1997-02-23,"2016","1","7","DEN"
"3913176","brandon-ingram","Brandon Ingram","SF","NO","new-orleans-pelicans","New Orleans Pelicans","27285000",2020,6.58333333333333,6,7,190,1997-09-02,"2016","1","2","LAL"
"3995","jrue-holiday","Jrue Holiday","SG","MIL","milwaukee-bucks","Milwaukee Bucks","26231111",2020,6.25,6,3,229,1990-06-12,"2009","1","17","PHI"
"6478","nikola-vucevic","Nikola Vucevic","C","ORL","orlando-magic","Orlando Magic","26000000",2020,7,7,0,260,1990-10-24,"2011","1","16","PHI"
"6466","chandler-parsons","Chandler Parsons","SF","ATL","atlanta-hawks","Atlanta Hawks","25102511",2020,NA,NA,NA,NA,NA,"2011","2","38","HOU"
"2990984","buddy-hield","Buddy Hield","SG","SAC","sacramento-kings","Sacramento Kings","24701834",2020,6.33333333333333,6,4,220,1992-12-17,"2016","1","6","NO"
"2983","lamarcus-aldridge","LaMarcus Aldridge","PF","SA","san-antonio-spurs","San Antonio Spurs","24000000",2020,6.91666666666667,6,11,265,1985-07-19,"2006","1","2","CHI"
"3917376","jaylen-brown","Jaylen Brown","SG","BOS","boston-celtics","Boston Celtics","23735118",2020,6.5,6,6,223,1996-10-24,"2016","1","3","BOS"
"6589","draymond-green","Draymond Green","PF","GS","golden-state-warriors","Golden State Warriors","22246956",2020,6.5,6,6,235,1990-03-04,"2012","2","35","GS"
"6578","harrison-barnes","Harrison Barnes","SF","SAC","sacramento-kings","Sacramento Kings","22215909",2020,6.66666666666667,6,8,225,1992-05-30,"2012","1","7","GS"
"2991230","fred-vanvleet","Fred VanVleet","SG","TOR","toronto-raptors","Toronto Raptors","21250000",2020,6,6,0,195,1994-02-25,NA,NA,NA,NA
"2527963","victor-oladipo","Victor Oladipo","SG","IND","indiana-pacers","Indiana Pacers","21000000",2020,6.33333333333333,6,4,210,1992-05-04,"2013","1","2","ORL"
"2566769","malcolm-brogdon","Malcolm Brogdon","PG","IND","indiana-pacers","Indiana Pacers","20700000",2020,6.41666666666667,6,5,229,1992-12-11,"2016","2","36","MIL"
"3155942","domantas-sabonis","Domantas Sabonis","PF","IND","indiana-pacers","Indiana Pacers","19800000",2020,6.91666666666667,6,11,240,1996-05-03,"2016","1","11","ORL"
"2999547","gary-harris","Gary Harris","SG","DEN","denver-nuggets","Denver Nuggets","19610714",2020,6.33333333333333,6,4,205,1994-09-14,"2014","1","19","CHI"
"3064440","zach-lavine","Zach LaVine","SG","CHI","chicago-bulls","Chicago Bulls","19500000",2020,6.41666666666667,6,5,202,1995-03-10,"2014","1","13","MIN"
"3428","danilo-gallinari","Danilo Gallinari","PF","ATL","atlanta-hawks","Atlanta Hawks","19500000",2020,6.83333333333333,6,10,233,1988-08-08,"2008","1","6","NY"
"2991070","jerami-grant","Jerami Grant","PF","DET","detroit-pistons","Detroit Pistons","19050000",2020,6.66666666666667,6,8,210,1994-03-12,"2014","2","39","PHI"
"2528210","tim-hardaway-jr.","Tim Hardaway Jr.","SG","DAL","dallas-mavericks","Dallas Mavericks","18975000",2020,6.41666666666667,6,5,205,1992-03-16,"2013","1","24","NY"
"3074752","terry-rozier","Terry Rozier","PG","CHA","charlotte-hornets","Charlotte Hornets","18900000",2020,6.08333333333333,6,1,190,1994-03-17,"2015","1","16","BOS"
"3064514","julius-randle","Julius Randle","PF","NY","new-york-knicks","New York Knicks","18900000",2020,6.75,6,9,254,1994-11-29,"2014","1","7","LAL"
"2531210","allen-crabbe","Allen Crabbe","G","MIN","minnesota-timberwolves","Minnesota Timberwolves","18500000",2020,NA,NA,NA,NA,NA,"2013","2","31","CLE"
"3064290","aaron-gordon","Aaron Gordon","PF","ORL","orlando-magic","Orlando Magic","18136364",2020,6.75,6,9,235,1995-09-16,"2014","1","4","ORL"
"3423","goran-dragic","Goran Dragic","PG","MIA","miami-heat","Miami Heat","18000000",2020,6.25,6,3,190,1986-05-06,"2008","2","45","SA"
"3133628","myles-turner","Myles Turner","PF","IND","indiana-pacers","Indiana Pacers","18000000",2020,6.91666666666667,6,11,250,1996-03-24,"2015","1","11","IND"
"3037789","bogdan-bogdanovic","Bogdan Bogdanovic","SG","ATL","atlanta-hawks","Atlanta Hawks","18000000",2020,6.5,6,6,220,1992-08-18,"2014","1","27","PHX"
"3593","bojan-bogdanovic","Bojan Bogdanovic","SF","UTAH","utah-jazz","Utah Jazz","17850000",2020,6.66666666666667,6,8,216,1989-04-18,"2011","2","31","MIA"
"2534781","gorgui-dieng","Gorgui Dieng","C","MEM","memphis-grizzlies","Memphis Grizzlies","17287640",2020,6.83333333333333,6,10,252,1990-01-18,"2013","1","21","UTAH"
"6588","evan-fournier","Evan Fournier","SG","ORL","orlando-magic","Orlando Magic","17150000",2020,6.58333333333333,6,7,205,1992-10-29,"2012","1","20","DEN"
"4011","ricky-rubio","Ricky Rubio","PG","MIN","minnesota-timberwolves","Minnesota Timberwolves","17000000",2020,6.25,6,3,199,1990-10-21,"2009","1","5","MIN"
"4238","eric-bledsoe","Eric Bledsoe","PG","NO","new-orleans-pelicans","New Orleans Pelicans","16875000",2020,6.08333333333333,6,1,214,1989-12-09,"2010","1","18","OKC"
"3431","eric-gordon","Eric Gordon","SG","HOU","houston-rockets","Houston Rockets","16869276",2020,6.25,6,3,215,1988-12-25,"2008","1","7","LAC"
"4298","timofey-mozgov","Timofey Mozgov","C","ORL","orlando-magic","Orlando Magic","16720000",2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2991043","caris-levert","Caris LeVert","SG","BKN","brooklyn-nets","Brooklyn Nets","16203704",2020,6.5,6,6,205,1994-08-25,"2016","1","20","IND"
"2528794","joe-harris","Joe Harris","SG","BKN","brooklyn-nets","Brooklyn Nets","16071429",2020,6.5,6,6,220,1991-09-06,"2014","2","33","CLE"
"3999","james-johnson","James Johnson","PF","DAL","dallas-mavericks","Dallas Mavericks","16047100",2020,6.58333333333333,6,7,240,1987-02-20,"2009","1","16","CHI"
"3032979","dennis-schroder","Dennis Schroder","PG","LAL","los-angeles-lakers","Los Angeles Lakers","16000000",2020,6.08333333333333,6,1,172,1993-09-15,"2013","1","17","ATL"
"3102529","clint-capela","Clint Capela","C","ATL","atlanta-hawks","Atlanta Hawks","16000000",2020,6.83333333333333,6,10,240,1994-05-18,"2014","1","25","HOU"
"2579258","cody-zeller","Cody Zeller","PF","CHA","charlotte-hornets","Charlotte Hornets","15415730",2020,7,7,0,240,1992-10-05,"2013","1","4","CHA"
"3988","danny-green","Danny Green","SG","PHI","philadelphia-76ers","Philadelphia 76ers","15365853",2020,6.5,6,6,210,1987-06-22,"2009","2","46","CLE"
"6477","jonas-valanciunas","Jonas Valanciunas","C","MEM","memphis-grizzlies","Memphis Grizzlies","15000000",2020,6.91666666666667,6,11,265,1992-05-06,"2011","1","5","TOR"
"6426","davis-bertans","Davis Bertans","SF","WSH","washington-wizards","Washington Wizards","15000000",2020,6.83333333333333,6,10,225,1992-11-12,"2011","2","42","IND"
"2386","andre-iguodala","Andre Iguodala","SG","MIA","miami-heat","Miami Heat","15000000",2020,6.5,6,6,215,1984-01-28,"2004","1","9","PHI"
"6462","marcus-morris-sr.","Marcus Morris Sr.","F","LAC","la-clippers","LA Clippers","14888721",2020,6.66666666666667,6,8,218,1989-09-02,"2011","1","14","HOU"
"4250","luke-babbitt","Luke Babbitt","F","MIA","miami-heat","Miami Heat","14651700",2020,NA,NA,NA,NA,NA,"2010","1","16","MIN"
"3005","rudy-gay","Rudy Gay","SF","SA","san-antonio-spurs","San Antonio Spurs","14500000",2020,6.66666666666667,6,8,240,1986-08-17,"2006","1","8","HOU"
"3133603","kelly-oubre-jr.","Kelly Oubre Jr.","SF","GS","golden-state-warriors","Golden State Warriors","14375000",2020,6.5,6,6,192,1995-12-09,"2015","1","15","ATL"
"3907497","dejounte-murray","Dejounte Murray","PG","SA","san-antonio-spurs","San Antonio Spurs","14286000",2020,6.41666666666667,6,5,180,1996-09-19,"2016","1","29","SA"
"6579","will-barton","Will Barton","SG","DEN","denver-nuggets","Denver Nuggets","13723214",2020,6.41666666666667,6,5,181,1991-01-06,"2012","2","40","POR"
"2758","marcin-gortat","Marcin Gortat","C","LAC","la-clippers","LA Clippers","13565218",2020,NA,NA,NA,NA,NA,"2005","2","57","PHX"
"3244","thaddeus-young","Thaddeus Young","PF","CHI","chicago-bulls","Chicago Bulls","13545000",2020,6.66666666666667,6,8,232,1988-06-21,"2007","1","12","PHI"
"4004","patty-mills","Patty Mills","PG","SA","san-antonio-spurs","San Antonio Spurs","13535714",2020,6,6,0,180,1988-08-11,"2009","2","55","POR"
"6619","terrence-ross","Terrence Ross","SG","ORL","orlando-magic","Orlando Magic","13500000",2020,6.58333333333333,6,7,206,1991-02-05,"2012","1","8","TOR"
"2990992","marcus-smart","Marcus Smart","PG","BOS","boston-celtics","Boston Celtics","13446428",2020,6.25,6,3,220,1994-03-06,"2014","1","6","BOS"
"3907822","malik-beasley","Malik Beasley","SG","MIN","minnesota-timberwolves","Minnesota Timberwolves","13425895",2020,6.33333333333333,6,4,196,1996-11-26,"2016","1","19","DEN"
"3964","patrick-beverley","Patrick Beverley","PG","LAC","la-clippers","LA Clippers","13333333",2020,6.08333333333333,6,1,180,1988-07-12,"2009","2","42","LAL"
"3058254","christian-wood","Christian Wood","PF","HOU","houston-rockets","Houston Rockets","13015873",2020,6.83333333333333,6,10,223,1995-09-27,NA,NA,NA,NA
"3024","jj-redick","JJ Redick","SG","NO","new-orleans-pelicans","New Orleans Pelicans","13013700",2020,6.25,6,3,200,1984-06-24,"2006","1","11","ORL"
"3135047","justise-winslow","Justise Winslow","PF","MEM","memphis-grizzlies","Memphis Grizzlies","13000000",2020,6.5,6,6,225,1996-03-26,"2015","1","10","MIA"
"3102530","jusuf-nurkic","Jusuf Nurkic","C","POR","portland-trail-blazers","Portland Trail Blazers","12888889",2020,7,7,0,290,1994-08-23,"2014","1","16","CHI"
"2426","trevor-ariza","Trevor Ariza","SF","OKC","oklahoma-city-thunder","Oklahoma City Thunder","12800000",2020,6.66666666666667,6,8,215,1985-06-30,"2004","2","43","NY"
"3445","courtney-lee","Courtney Lee","G","DAL","dallas-mavericks","Dallas Mavericks","12759670",2020,NA,NA,NA,NA,NA,"2008","1","22","ORL"
"3448","brook-lopez","Brook Lopez","C","MIL","milwaukee-bucks","Milwaukee Bucks","12697674",2020,7,7,0,282,1988-04-01,"2008","1","10","NJ"
"6446","cory-joseph","Cory Joseph","PG","SAC","sacramento-kings","Sacramento Kings","12600000",2020,6.25,6,3,200,1991-08-20,"2011","1","29","SA"
"2489663","kelly-olynyk","Kelly Olynyk","F","MIA","miami-heat","Miami Heat","12598243",2020,6.91666666666667,6,11,240,1991-04-19,"2013","1","13","DAL"
"6616","miles-plumlee","Miles Plumlee","C","XXX","NO ID","null Unknown","12500000",2020,NA,NA,NA,NA,NA,"2012","1","26","IND"
"6459","nikola-mirotic","Nikola Mirotic","F","MIL","milwaukee-bucks","Milwaukee Bucks","12500000",2020,NA,NA,NA,NA,NA,"2011","1","23","HOU"
"2982334","t.j.-warren","T.J. Warren","SF","IND","indiana-pacers","Indiana Pacers","12500000",2020,6.66666666666667,6,8,215,1993-09-05,"2014","1","14","PHX"
"3983","tyreke-evans","Tyreke Evans","G","IND","indiana-pacers","Indiana Pacers","12400000",2020,NA,NA,NA,NA,NA,"2009","1","4","SAC"
"4066636","markelle-fultz","Markelle Fultz","PG","ORL","orlando-magic","Orlando Magic","12288697",2020,6.33333333333333,6,4,209,1998-05-29,"2017","1","1","PHI"
"2990962","taurean-prince","Taurean Prince","PF","BKN","brooklyn-nets","Brooklyn Nets","12250000",2020,6.58333333333333,6,7,218,1994-03-22,"2016","1","12","UTAH"
"2528353","tony-snell","Tony Snell","SG","ATL","atlanta-hawks","Atlanta Hawks","12178571",2020,6.5,6,6,213,1991-11-10,"2013","1","20","CHI"
"2490620","robert-covington","Robert Covington","PF","POR","portland-trail-blazers","Portland Trail Blazers","12138345",2020,6.58333333333333,6,7,209,1990-12-14,NA,NA,NA,NA
"2581018","kentavious-caldwell-pope","Kentavious Caldwell-Pope","SG","LAL","los-angeles-lakers","Los Angeles Lakers","12073020",2020,6.41666666666667,6,5,205,1993-02-18,"2013","1","8","DET"
"2580365","larry-nance-jr.","Larry Nance Jr.","PF","CLE","cleveland-cavaliers","Cleveland Cavaliers","11709091",2020,6.58333333333333,6,7,245,1993-01-01,"2015","1","27","LAL"
"1017","zach-randolph","Zach Randolph","F","DAL","dallas-mavericks","Dallas Mavericks","11692308",2020,NA,NA,NA,NA,NA,"2001","1","19","POR"
"2528426","jordan-clarkson","Jordan Clarkson","PG","UTAH","utah-jazz","Utah Jazz","11500000",2020,6.41666666666667,6,5,192,1992-06-07,"2014","2","46","WSH"
"2580782","spencer-dinwiddie","Spencer Dinwiddie","PG","BKN","brooklyn-nets","Brooklyn Nets","11454048",2020,6.41666666666667,6,5,218,1993-04-06,"2014","2","38","DET"
"3155526","dillon-brooks","Dillon Brooks","SG","MEM","memphis-grizzlies","Memphis Grizzlies","11400000",2020,6.58333333333333,6,7,220,1996-01-22,"2017","2","45","HOU"
"3414","omer-asik","Omer Asik","C","CHI","chicago-bulls","Chicago Bulls","11286516",2020,NA,NA,NA,NA,NA,"2008","2","36","POR"
"2531367","dwight-powell","Dwight Powell","C","DAL","dallas-mavericks","Dallas Mavericks","11080125",2020,6.83333333333333,6,10,240,1991-07-20,"2014","2","45","CHA"
"4066421","lonzo-ball","Lonzo Ball","PG","NO","new-orleans-pelicans","New Orleans Pelicans","11003782",2020,6.5,6,6,190,1997-10-27,"2017","1","2","LAL"
"2595516","norman-powell","Norman Powell","SG","TOR","toronto-raptors","Toronto Raptors","10865952",2020,6.33333333333333,6,4,215,1993-05-25,"2015","2","46","MIL"
"2581190","josh-richardson","Josh Richardson","SG","DAL","dallas-mavericks","Dallas Mavericks","10865952",2020,6.41666666666667,6,5,200,1993-09-15,"2015","2","40","MIA"
"2968436","joe-ingles","Joe Ingles","SF","UTAH","utah-jazz","Utah Jazz","10863637",2020,6.66666666666667,6,8,226,1987-10-02,NA,NA,NA,NA
"6603","jeremy-lamb","Jeremy Lamb","SG","IND","indiana-pacers","Indiana Pacers","10500000",2020,6.41666666666667,6,5,185,1992-05-30,"2012","1","12","HOU"
